,Part_number,Target_power_mean,Target_power_std,Print_ID_layer,Position,row,column,Galvo,Xcoor,Ycoor,Zcoor
0,1,15.177048883251757,0.8571049429655676,0_1,1,0,0,0,32.4,36.48,21.01
1,3,14.462047078590102,0.648625222353832,0_1,3,0,0,0,89.52,36.48,21.01
2,5,14.500693125076667,0.6725843633135109,0_1,5,0,0,0,146.64,36.48,21.01
3,7,14.484762995110318,0.6229248669770215,0_1,7,0,0,0,203.76,36.48,21.01
4,10,15.30885770678204,0.8336774645952897,0_1,10,0,0,0,296.16,36.48,21.01
5,12,15.039808582371188,0.7209043052009476,0_1,12,0,0,0,353.28,36.48,21.01
6,14,13.769230155820889,0.5319642744949569,0_1,14,0,0,0,410.4,36.48,21.01
7,16,14.568834028360426,1.0091640314546697,0_1,16,0,0,0,467.52,36.48,21.01
8,24,13.881606923730155,0.8855602989840886,0_1,24,0,0,0,232.32,65.04,21.01
9,25,14.490615491018467,0.5185867882745487,0_1,25,0,0,0,267.6,65.04,21.01
10,49,13.221946235077054,0.38013804811114366,0_1,49,0,0,0,32.4,122.16,21.01
11,51,13.285329972639738,0.6934628682299102,0_1,51,0,0,0,89.52,122.16,21.01
12,53,13.448616736241707,0.6108392774315937,0_1,53,0,0,0,146.64,122.16,21.01
13,55,12.643982117093229,0.5112131765657877,0_1,55,0,0,0,203.76,122.16,21.01
14,58,13.802202012500192,0.33468864449200203,0_1,58,0,0,0,296.16,122.16,21.01
15,60,13.921700799535621,0.4949562540126443,0_1,60,0,0,0,353.28,122.16,21.01
16,62,12.888772308777563,0.36310534875836115,0_1,62,0,0,0,410.4,122.16,21.01
17,64,13.299123821994097,0.3467267674160419,0_1,64,0,0,0,467.52,122.16,21.01
18,84,13.444765340967923,0.8018873250029076,0_1,84,0,0,0,118.08,179.28,21.01
19,88,12.901962338703008,0.4084010485283865,0_1,88,0,0,0,232.32,179.28,21.01
20,89,13.36561341830258,0.2513241472784956,0_1,89,0,0,0,267.6,179.28,21.01
21,93,12.666054918273224,0.5809139660864567,0_1,93,0,0,0,381.84,179.28,21.01
22,97,13.751454380920352,0.3916610089232923,0_1,97,0,0,0,32.4,207.84,21.01
23,99,13.302472216430806,0.7132516868003724,0_1,99,0,0,0,89.52,207.84,21.01
24,101,13.72535867156163,0.369058847219207,0_1,101,0,0,0,146.64,207.84,21.01
25,103,12.552949583913296,0.4214830299405021,0_1,103,0,0,0,203.76,207.84,21.01
26,106,13.241236149451428,0.3488970120564884,0_1,106,0,0,0,296.16,207.84,21.01
27,108,13.450806299038895,0.4771082015630169,0_1,108,0,0,0,353.28,207.84,21.01
28,110,12.407897256745244,0.5613493668610714,0_1,110,0,0,0,410.4,207.84,21.01
29,112,13.84320891164899,0.9728215475387644,0_1,112,0,0,0,467.52,207.84,21.01
30,136,12.747823579920343,0.47740514586405525,0_1,136,0,0,0,232.32,264.96,21.01
31,137,13.389451985849506,0.37928827321287195,0_1,137,0,0,0,267.6,264.96,21.01
32,145,15.32889307730449,0.8235937643631627,0_1,145,0,0,0,32.4,293.52,21.01
33,147,14.962516762160083,0.4891449319423911,0_1,147,0,0,0,89.52,293.52,21.01
34,149,15.276771632087321,0.9526416454576202,0_1,149,0,0,0,146.64,293.52,21.01
35,151,14.287176482265679,0.640984322205192,0_1,151,0,0,0,203.76,293.52,21.01
36,154,14.236883240905456,0.5788469653052157,0_1,154,0,0,0,296.16,293.52,21.01
37,156,14.509544051301702,0.4618592180345531,0_1,156,0,0,0,353.28,293.52,21.01
