,Part_number,Target_power_mean,Target_power_std,Print_ID_layer,Position,row,column,Galvo,Xcoor,Ycoor,Zcoor
0,1,15.649905529395154,1.8093385604014374,0_1,1,1,1,1,32.4,36.48,21.01
1,3,14.345566866423908,0.6214989964989137,0_1,3,3,1,1,89.52,36.48,21.01
2,5,14.839025515423872,0.9114345946101594,0_1,5,5,1,1,146.64,36.48,21.01
3,7,14.272546738497667,0.8893556001747864,0_1,7,7,1,1,203.76,36.48,21.01
4,10,15.819634606362628,1.608883730496612,0_1,10,10,1,2,296.16,36.48,21.01
5,12,16.256608415186932,1.2783227074688874,0_1,12,12,1,2,353.28,36.48,21.01
6,14,15.281348284102817,1.326366803194353,0_1,14,14,1,2,410.4,36.48,21.01
7,16,15.277678199391111,1.2643531367651366,0_1,16,16,1,2,467.52,36.48,21.01
8,24,13.482600774015108,2.414730326336397,0_1,24,8,2,1,232.32,65.04,21.01
9,25,14.934176421694112,1.3437724734635603,0_1,25,9,2,2,267.6,65.04,21.01
10,49,13.408296154379963,0.7851888905501111,0_1,49,1,4,1,32.4,122.16,21.01
11,51,12.920780595063245,0.853843656276738,0_1,51,3,4,1,89.52,122.16,21.01
12,53,13.197427396781023,0.5582069928945703,0_1,53,5,4,1,146.64,122.16,21.01
13,55,11.786809303903272,0.46284883558704704,0_1,55,7,4,1,203.76,122.16,21.01
14,58,12.90516288109014,0.9270213573120264,0_1,58,10,4,2,296.16,122.16,21.01
15,60,14.16632118061067,0.7918653157904528,0_1,60,12,4,2,353.28,122.16,21.01
16,62,13.075728234096761,1.10245777266193,0_1,62,14,4,2,410.4,122.16,21.01
17,64,14.687530844159014,1.1305391173992632,0_1,64,16,4,2,467.52,122.16,21.01
18,84,12.149317347352447,0.5048066396521472,0_1,84,4,6,1,118.08,179.28,21.01
19,88,11.89540124445969,0.3727210032714164,0_1,88,8,6,1,232.32,179.28,21.01
20,89,11.995156895804275,1.2088071635164037,0_1,89,9,6,2,267.6,179.28,21.01
21,93,12.51525268978724,1.0154239842459731,0_1,93,13,6,2,381.84,179.28,21.01
22,97,12.959988233273808,1.682091265258742,0_1,97,1,7,1,32.4,207.84,21.01
23,99,12.219396095231199,0.6485727681604639,0_1,99,3,7,1,89.52,207.84,21.01
24,101,12.623865679405569,0.6443167152042636,0_1,101,5,7,1,146.64,207.84,21.01
25,103,11.832379235420893,0.4746720704125695,0_1,103,7,7,1,203.76,207.84,21.01
26,106,13.232778126429059,0.7863636068152973,0_1,106,10,7,2,296.16,207.84,21.01
27,108,13.846219340347787,0.6964452800458765,0_1,108,12,7,2,353.28,207.84,21.01
28,110,12.541582576075054,1.24263295713626,0_1,110,14,7,2,410.4,207.84,21.01
29,112,15.09734746614244,1.5329707307420777,0_1,112,16,7,2,467.52,207.84,21.01
